location,site_code,site_name,survey_year,taxon,survey_mean,survey_datetime,survey_change,summer_temp_max,summer_dhd50_max,summer_inten_max,summer_dtdt_max
Jurien,JMP-S5,Escape Island,2000,Ecklonia radiata,56.4,1/01/2000,-13,23.11967087,62.66629028,2.524354935,0.094666861
Jurien,JMP-S5,Escape Island,2003,Ecklonia radiata,46.2,1/01/2003,-10.2,22.45459175,36.34899139,1.824356079,0.134799957
Jurien,JMP-S5,Escape Island,2004,Ecklonia radiata,60.9,1/01/2004,14.7,21.5357666,4.514575958,1.114355087,0.133366778
Jurien,JMP-S5,Escape Island,2006,Ecklonia radiata,56.4,1/01/2006,-4.5,22.04019737,19.35628891,2.054353714,0.166900069
Jurien,JMP-S5,Escape Island,2016,Ecklonia radiata,31.2,1/01/2016,-20.3,22.30361938,25.75051498,1.321022034,0.120633319
Jurien,JMP-S5,Escape Island,2018,Ecklonia radiata,45.5,1/01/2018,14.3,22.12410545,8.417106628,0.964355469,0.089500234
Jurien,JMP-S5,Escape Island,2021,Ecklonia radiata,43.46666667,1/01/2021,-2.03333333,23.03439903,70.60350037,1.884355545,0.117166713
Jurien,JMP-S25,Fishermans Island,2000,Ecklonia radiata,3.2,1/01/2000,1.866666667,23.11967087,62.66629028,2.524354935,0.094666861
Jurien,JMP-S25,Fishermans Island,2003,Ecklonia radiata,2.4,1/01/2003,-0.8,22.45459175,36.34899139,1.824356079,0.134799957
Jurien,JMP-S25,Fishermans Island,2004,Ecklonia radiata,7.6,1/01/2004,5.2,21.5357666,4.514575958,1.114355087,0.133366778
Jurien,JMP-S25,Fishermans Island,2006,Ecklonia radiata,4.8,1/01/2006,-2.8,22.04019737,19.35628891,2.054353714,0.166900069
Jurien,JMP-S25,Fishermans Island,2009,Ecklonia radiata,3.8,1/01/2009,-1,22.91250038,81.9091568,2.654356003,0.151733398
Jurien,JMP-S25,Fishermans Island,2016,Ecklonia radiata,5.333333333,1/01/2016,2.533333333,22.30361938,25.75051498,1.321022034,0.120633319
Jurien,JMP-S25,Fishermans Island,2018,Ecklonia radiata,3.2,1/01/2018,-2.133333333,22.12410545,8.417106628,0.964355469,0.089500234
Jurien,JMP-S25,Fishermans Island,2021,Ecklonia radiata,15.8,1/01/2021,12.6,23.03439903,70.60350037,1.884355545,0.117166713
Jurien,JMP-S8,Fishermans Island 1,2004,Ecklonia radiata,13.6,1/01/2004,3.4,21.5357666,4.514575958,1.114355087,0.133366778
Jurien,JMP-S8,Fishermans Island 1,2006,Ecklonia radiata,17.6,1/01/2006,4,22.04019737,19.35628891,2.054353714,0.166900069
Jurien,JMP-S8,Fishermans Island 1,2009,Ecklonia radiata,10,1/01/2009,-7.6,22.91250038,81.9091568,2.654356003,0.151733398
Jurien,JMP-S8,Fishermans Island 1,2012,Ecklonia radiata,2.6,1/01/2012,-7.4,24.23686409,219.2330475,5.52768898,0.202066615
Jurien,JMP-S8,Fishermans Island 1,2018,Ecklonia radiata,25.6,1/01/2018,23.2,22.12410545,8.417106628,0.964355469,0.089500234
Jurien,JMP-S8,Fishermans Island 1,2021,Ecklonia radiata,15.4,1/01/2021,-10.2,23.03439903,70.60350037,1.884355545,0.117166713
Jurien,JMP-S9,Fishermans Island 2,2000,Ecklonia radiata,8.8,1/01/2000,0.8,23.11967087,62.66629028,2.524354935,0.094666861
Jurien,JMP-S9,Fishermans Island 2,2006,Ecklonia radiata,3.2,1/01/2006,-0.6,22.04019737,19.35628891,2.054353714,0.166900069
Jurien,JMP-S9,Fishermans Island 2,2009,Ecklonia radiata,18.8,1/01/2009,15.6,22.91250038,81.9091568,2.654356003,0.151733398
Jurien,JMP-S9,Fishermans Island 2,2012,Ecklonia radiata,5.2,1/01/2012,-13.6,24.23686409,219.2330475,5.52768898,0.202066615
Jurien,JMP-S19,Gazely Reef,2000,Ecklonia radiata,41.2,1/01/2000,-1.4,23.11967087,62.66629028,2.524354935,0.094666861
Jurien,JMP-S19,Gazely Reef,2003,Ecklonia radiata,40.6,1/01/2003,-0.6,22.45459175,36.34899139,1.824356079,0.134799957
Jurien,JMP-S19,Gazely Reef,2004,Ecklonia radiata,42.13333333,1/01/2004,1.53333333,21.5357666,4.514575958,1.114355087,0.133366778
Jurien,JMP-S19,Gazely Reef,2006,Ecklonia radiata,24.1,1/01/2006,-18.03333333,22.04019737,19.35628891,2.054353714,0.166900069
Jurien,JMP-S19,Gazely Reef,2009,Ecklonia radiata,8.8,1/01/2009,-15.3,22.91250038,81.9091568,2.654356003,0.151733398
Jurien,JMP-S19,Gazely Reef,2016,Ecklonia radiata,38.2,1/01/2016,3.7,22.30361938,25.75051498,1.321022034,0.120633319
Jurien,JMP-S19,Gazely Reef,2018,Ecklonia radiata,57.4,1/01/2018,19.2,22.12410545,8.417106628,0.964355469,0.089500234
Jurien,JMP-S6,Inner Seaward Ledge,2000,Ecklonia radiata,39.4,1/01/2000,-22.5,23.11967087,62.66629028,2.524354935,0.094666861
Jurien,JMP-S6,Inner Seaward Ledge,2003,Ecklonia radiata,57.3,1/01/2003,17.9,22.45459175,36.34899139,1.824356079,0.134799957
Jurien,JMP-S6,Inner Seaward Ledge,2004,Ecklonia radiata,72.5,1/01/2004,15.2,21.5357666,4.514575958,1.114355087,0.133366778
Jurien,JMP-S6,Inner Seaward Ledge,2006,Ecklonia radiata,65.9,1/01/2006,-6.6,22.04019737,19.35628891,2.054353714,0.166900069
Jurien,JMP-S6,Inner Seaward Ledge,2009,Ecklonia radiata,78.6,1/01/2009,12.7,22.91250038,81.9091568,2.654356003,0.151733398
Jurien,JMP-S6,Inner Seaward Ledge,2012,Ecklonia radiata,16.4,1/01/2012,-62.2,24.23686409,219.2330475,5.52768898,0.202066615
Jurien,JMP-S6,Inner Seaward Ledge,2016,Ecklonia radiata,52.53333333,1/01/2016,40.03333333,22.30361938,25.75051498,1.321022034,0.120633319
Jurien,JMP-S6,Inner Seaward Ledge,2018,Ecklonia radiata,63.6,1/01/2018,11.06666667,22.12410545,8.417106628,0.964355469,0.089500234
Jurien,JMP-S22,Inner Seven Foot Reef,2000,Ecklonia radiata,21.4,1/01/2000,-5,23.11967087,62.66629028,2.524354935,0.094666861
Jurien,JMP-S22,Inner Seven Foot Reef,2003,Ecklonia radiata,26.4,1/01/2003,5,22.45459175,36.34899139,1.824356079,0.134799957
Jurien,JMP-S22,Inner Seven Foot Reef,2004,Ecklonia radiata,20.4,1/01/2004,-6,21.5357666,4.514575958,1.114355087,0.133366778
Jurien,JMP-S22,Inner Seven Foot Reef,2006,Ecklonia radiata,29,1/01/2006,8.6,22.04019737,19.35628891,2.054353714,0.166900069
Jurien,JMP-S22,Inner Seven Foot Reef,2016,Ecklonia radiata,59.7,1/01/2016,35.2,22.30361938,25.75051498,1.321022034,0.120633319
Jurien,JMP-S22,Inner Seven Foot Reef,2018,Ecklonia radiata,53.5,1/01/2018,-6.2,22.12410545,8.417106628,0.964355469,0.089500234
Jurien,JMP-S7,Juddy Reef,2000,Ecklonia radiata,43.6,1/01/2000,-5,23.11967087,62.66629028,2.524354935,0.094666861
Jurien,JMP-S7,Juddy Reef,2003,Ecklonia radiata,55.5,1/01/2003,11.9,22.45459175,36.34899139,1.824356079,0.134799957
Jurien,JMP-S7,Juddy Reef,2004,Ecklonia radiata,63.4,1/01/2004,7.9,21.5357666,4.514575958,1.114355087,0.133366778
Jurien,JMP-S7,Juddy Reef,2006,Ecklonia radiata,42.4,1/01/2006,-21,22.04019737,19.35628891,2.054353714,0.166900069
Jurien,JMP-S7,Juddy Reef,2016,Ecklonia radiata,31.7,1/01/2016,-11.23333333,22.30361938,25.75051498,1.321022034,0.120633319
Jurien,JMP-S7,Juddy Reef,2018,Ecklonia radiata,51.06666667,1/01/2018,19.36666667,22.12410545,8.417106628,0.964355469,0.089500234
Jurien,JMP-S35,Midshore Boullanger Island,2006,Ecklonia radiata,0,1/01/2006,0,22.04019737,19.35628891,2.054353714,0.166900069
Jurien,JMP-S35,Midshore Boullanger Island,2016,Ecklonia radiata,0,1/01/2016,0,22.30361938,25.75051498,1.321022034,0.120633319
Jurien,JMP-S35,Midshore Boullanger Island,2018,Ecklonia radiata,0,1/01/2018,0,22.12410545,8.417106628,0.964355469,0.089500234
Jurien,JMP-S35,Midshore Boullanger Island,2021,Ecklonia radiata,0,1/01/2021,0,23.03439903,70.60350037,1.884355545,0.117166713
Jurien,JMP-S26,Outer Green Islands,2006,Ecklonia radiata,27.9,1/01/2006,-8.8,22.04019737,19.35628891,2.054353714,0.166900069
Jurien,JMP-S26,Outer Green Islands,2009,Ecklonia radiata,28.6,1/01/2009,0.7,22.91250038,81.9091568,2.654356003,0.151733398
Jurien,JMP-S26,Outer Green Islands,2012,Ecklonia radiata,15,1/01/2012,-13.6,24.23686409,219.2330475,5.52768898,0.202066615
Jurien,JMP-S26,Outer Green Islands,2016,Ecklonia radiata,26.5,1/01/2016,13.1,22.30361938,25.75051498,1.321022034,0.120633319
Jurien,JMP-S26,Outer Green Islands,2018,Ecklonia radiata,15.3,1/01/2018,-11.2,22.12410545,8.417106628,0.964355469,0.089500234
Jurien,JMP-S4,Outer Rocks (North) 2,2000,Ecklonia radiata,30,1/01/2000,-1,23.11967087,62.66629028,2.524354935,0.094666861
Jurien,JMP-S4,Outer Rocks (North) 2,2003,Ecklonia radiata,41.8,1/01/2003,11.8,22.45459175,36.34899139,1.824356079,0.134799957
Jurien,JMP-S4,Outer Rocks (North) 2,2004,Ecklonia radiata,53.5,1/01/2004,11.7,21.5357666,4.514575958,1.114355087,0.133366778
Jurien,JMP-S4,Outer Rocks (North) 2,2006,Ecklonia radiata,51.9,1/01/2006,-1.6,22.04019737,19.35628891,2.054353714,0.166900069
Jurien,JMP-S4,Outer Rocks (North) 2,2009,Ecklonia radiata,47.4,1/01/2009,-4.5,22.91250038,81.9091568,2.654356003,0.151733398
Jurien,JMP-S4,Outer Rocks (North) 2,2012,Ecklonia radiata,33.2,1/01/2012,-14.2,24.23686409,219.2330475,5.52768898,0.202066615
Jurien,JMP-S4,Outer Rocks (North) 2,2016,Ecklonia radiata,43.73333333,1/01/2016,3.93333333,22.30361938,25.75051498,1.321022034,0.120633319
Jurien,JMP-S4,Outer Rocks (North) 2,2018,Ecklonia radiata,85.6,1/01/2018,41.86666667,22.12410545,8.417106628,0.964355469,0.089500234
Jurien,JMP-S3,"Outer Rocks, Inner Coffins",2000,Ecklonia radiata,41.2,1/01/2000,-3.9,23.11967087,62.66629028,2.524354935,0.094666861
Jurien,JMP-S3,"Outer Rocks, Inner Coffins",2003,Ecklonia radiata,45.3,1/01/2003,4.1,22.45459175,36.34899139,1.824356079,0.134799957
Jurien,JMP-S3,"Outer Rocks, Inner Coffins",2004,Ecklonia radiata,61.9,1/01/2004,16.6,21.5357666,4.514575958,1.114355087,0.133366778
Jurien,JMP-S3,"Outer Rocks, Inner Coffins",2006,Ecklonia radiata,61.06666667,1/01/2006,-0.83333333,22.04019737,19.35628891,2.054353714,0.166900069
Jurien,JMP-S3,"Outer Rocks, Inner Coffins",2016,Ecklonia radiata,59.2,1/01/2016,28.6,22.30361938,25.75051498,1.321022034,0.120633319
Jurien,JMP-S3,"Outer Rocks, Inner Coffins",2018,Ecklonia radiata,72.8,1/01/2018,13.6,22.12410545,8.417106628,0.964355469,0.089500234
Jurien,JMP-S3,"Outer Rocks, Inner Coffins",2021,Ecklonia radiata,22.13333333,1/01/2021,-50.66666667,23.03439903,70.60350037,1.884355545,0.117166713
Jurien,JMP-S42,Outer Seaward Ledge,2006,Ecklonia radiata,38.9,1/01/2006,0.5,22.04019737,19.35628891,2.054353714,0.166900069
Jurien,JMP-S42,Outer Seaward Ledge,2016,Ecklonia radiata,16,1/01/2016,4.1,22.30361938,25.75051498,1.321022034,0.120633319
Jurien,JMP-S42,Outer Seaward Ledge,2018,Ecklonia radiata,40.4,1/01/2018,24.4,22.12410545,8.417106628,0.964355469,0.089500234
Jurien,JMP-S42,Outer Seaward Ledge,2021,Ecklonia radiata,26.4,1/01/2021,-14,23.03439903,70.60350037,1.884355545,0.117166713
Jurien,JMP-S23,Sams Reef,2000,Ecklonia radiata,28,1/01/2000,-2.66666667,23.11967087,62.66629028,2.524354935,0.094666861
Jurien,JMP-S23,Sams Reef,2003,Ecklonia radiata,31.5,1/01/2003,3.5,22.45459175,36.34899139,1.824356079,0.134799957
Jurien,JMP-S23,Sams Reef,2004,Ecklonia radiata,23.2,1/01/2004,-8.3,21.5357666,4.514575958,1.114355087,0.133366778
Jurien,JMP-S23,Sams Reef,2006,Ecklonia radiata,37.5,1/01/2006,14.3,22.04019737,19.35628891,2.054353714,0.166900069
Jurien,JMP-S23,Sams Reef,2009,Ecklonia radiata,35.3,1/01/2009,-2.2,22.91250038,81.9091568,2.654356003,0.151733398
Jurien,JMP-S23,Sams Reef,2016,Ecklonia radiata,36.9,1/01/2016,-7,22.30361938,25.75051498,1.321022034,0.120633319
Jurien,JMP-S23,Sams Reef,2018,Ecklonia radiata,24.7,1/01/2018,-12.2,22.12410545,8.417106628,0.964355469,0.089500234
Jurien,JMP-S2,Sandland Island,2000,Ecklonia radiata,3.6,1/01/2000,-4.4,23.11967087,62.66629028,2.524354935,0.094666861
Jurien,JMP-S2,Sandland Island,2003,Ecklonia radiata,0.4,1/01/2003,-3.2,22.45459175,36.34899139,1.824356079,0.134799957
Jurien,JMP-S2,Sandland Island,2004,Ecklonia radiata,7.066666667,1/01/2004,6.666666667,21.5357666,4.514575958,1.114355087,0.133366778
Jurien,JMP-S2,Sandland Island,2006,Ecklonia radiata,4,1/01/2006,-3.066666667,22.04019737,19.35628891,2.054353714,0.166900069
Jurien,JMP-S2,Sandland Island,2018,Ecklonia radiata,26.4,1/01/2018,14.4,22.12410545,8.417106628,0.964355469,0.089500234
Jervis Bay,JBMP-S15,Bowen Island NW,2000,Ecklonia radiata,1.6,1/01/2000 0:00,-37.6,23.07986641,76.84458923,2.661085129,0.230650142
Jervis Bay,JBMP-S15,Bowen Island NW,2003,Ecklonia radiata,1.6,1/01/2003 0:00,0,23.14158821,66.2385025,2.43608284,0.241449922
Jervis Bay,JBMP-S15,Bowen Island NW,2004,Ecklonia radiata,2.8,1/01/2004 0:00,1.2,22.06351852,7.407352448,0.971084595,0.132099912
Jervis Bay,JBMP-S15,Bowen Island NW,2005,Ecklonia radiata,20,1/01/2005 0:00,17.2,22.10297966,8.828619003,0.821084976,0.129750058
Jervis Bay,JBMP-S15,Bowen Island NW,2006,Ecklonia radiata,34,1/01/2006 0:00,14,22.58460236,46.92115021,2.341085434,0.169549942
Jervis Bay,JBMP-S15,Bowen Island NW,2007,Ecklonia radiata,10,1/01/2007 0:00,-24,22.51013184,47.9592247,2.411085129,0.107049942
Jervis Bay,JBMP-S15,Bowen Island NW,2008,Ecklonia radiata,20,1/01/2008 0:00,10,21.85381508,7.081684113,0.66608429,0.07970009
Jervis Bay,JBMP-S15,Bowen Island NW,2009,Ecklonia radiata,23.6,1/01/2009 0:00,3.6,21.29112434,0.493253708,0.246084213,0.127400011
Jervis Bay,JBMP-S15,Bowen Island NW,2012,Ecklonia radiata,29.8,1/01/2012 0:00,6.2,22.61966896,45.73808289,1.926084518,0.140299991
Jervis Bay,JBMP-S15,Bowen Island NW,2017,Ecklonia radiata,18,1/01/2017 0:00,-11.8,23.18506622,91.29174805,3.021083832,0.225399971
Jervis Bay,JBMP-S16,Bowens Island SW,2003,Ecklonia radiata,13.4,1/01/2003 0:00,9.4,23.14158821,66.2385025,2.43608284,0.241449922
Jervis Bay,JBMP-S16,Bowens Island SW,2004,Ecklonia radiata,15,1/01/2004 0:00,1.6,22.06351852,7.407352448,0.971084595,0.132099912
Jervis Bay,JBMP-S16,Bowens Island SW,2005,Ecklonia radiata,10.26666667,1/01/2005 0:00,-4.73333333,22.10297966,8.828619003,0.821084976,0.129750058
Jervis Bay,JBMP-S16,Bowens Island SW,2006,Ecklonia radiata,19.6,1/01/2006 0:00,9.33333333,22.58460236,46.92115021,2.341085434,0.169549942
Jervis Bay,JBMP-S16,Bowens Island SW,2007,Ecklonia radiata,29.4,1/01/2007 0:00,9.8,22.51013184,47.9592247,2.411085129,0.107049942
Jervis Bay,JBMP-S16,Bowens Island SW,2008,Ecklonia radiata,30.2,1/01/2008 0:00,0.8,21.85381508,7.081684113,0.66608429,0.07970009
Jervis Bay,JBMP-S16,Bowens Island SW,2009,Ecklonia radiata,38.4,1/01/2009 0:00,8.2,21.29112434,0.493253708,0.246084213,0.127400011
Jervis Bay,JBMP-S16,Bowens Island SW,2012,Ecklonia radiata,29.2,1/01/2012 0:00,-9.2,22.61966896,45.73808289,1.926084518,0.140299991
Jervis Bay,JBMP-S16,Bowens Island SW,2017,Ecklonia radiata,10,1/01/2017 0:00,-19.2,23.18506622,91.29174805,3.021083832,0.225399971
Jervis Bay,JBMP-S18,Bristol Pt,2000,Ecklonia radiata,48.8,1/01/2000 0:00,5.05454545,23.07986641,76.84458923,2.661085129,0.230650142
Jervis Bay,JBMP-S18,Bristol Pt,2001,Ecklonia radiata,30.8,1/01/2001 0:00,-18,23.14158821,66.2385025,2.026082993,0.175099939
Jervis Bay,JBMP-S18,Bristol Pt,2003,Ecklonia radiata,38.4,1/01/2003 0:00,7.6,22.48085976,30.7644558,2.43608284,0.241449922
Jervis Bay,JBMP-S18,Bristol Pt,2004,Ecklonia radiata,32.7,1/01/2004 0:00,-5.7,22.06351852,7.407352448,0.971084595,0.132099912
Jervis Bay,JBMP-S18,Bristol Pt,2005,Ecklonia radiata,38.13333333,1/01/2005 0:00,5.43333333,22.10297966,8.828619003,0.821084976,0.129750058
Jervis Bay,JBMP-S18,Bristol Pt,2006,Ecklonia radiata,27.6,1/01/2006 0:00,-10.53333333,22.58460236,46.92115021,2.341085434,0.169549942
Jervis Bay,JBMP-S18,Bristol Pt,2007,Ecklonia radiata,32.8,1/01/2007 0:00,5.2,22.51013184,47.9592247,2.411085129,0.107049942
Jervis Bay,JBMP-S18,Bristol Pt,2008,Ecklonia radiata,37.6,1/01/2008 0:00,4.8,21.85381508,7.081684113,0.66608429,0.07970009
Jervis Bay,JBMP-S18,Bristol Pt,2009,Ecklonia radiata,23.2,1/01/2009 0:00,-14.4,21.29112434,0.493253708,0.246084213,0.127400011
Jervis Bay,JBMP-S18,Bristol Pt,2012,Ecklonia radiata,21.73333333,1/01/2012 0:00,-1.46666667,22.61966896,45.73808289,1.926084518,0.140299991
Jervis Bay,JBMP-S18,Bristol Pt,2017,Ecklonia radiata,14.26666667,1/01/2017 0:00,-7.46666666,23.18506622,91.29174805,3.021083832,0.225399971
Jervis Bay,JBMP-S19,Callala,2001,Ecklonia radiata,85.6,1/01/2001 0:00,-3.5,23.14158821,66.2385025,2.026082993,0.175099939
Jervis Bay,JBMP-S19,Callala,2003,Ecklonia radiata,84.3,1/01/2003 0:00,-1.3,22.48085976,30.7644558,2.43608284,0.241449922
Jervis Bay,JBMP-S19,Callala,2004,Ecklonia radiata,81.4,1/01/2004 0:00,-2.9,22.06351852,7.407352448,0.971084595,0.132099912
Jervis Bay,JBMP-S19,Callala,2005,Ecklonia radiata,89,1/01/2005 0:00,7.6,22.10297966,8.828619003,0.821084976,0.129750058
Jervis Bay,JBMP-S19,Callala,2006,Ecklonia radiata,55.9,1/01/2006 0:00,-33.1,22.58460236,46.92115021,2.341085434,0.169549942
Jervis Bay,JBMP-S19,Callala,2007,Ecklonia radiata,85.5,1/01/2007 0:00,29.6,22.51013184,47.9592247,2.411085129,0.107049942
Jervis Bay,JBMP-S19,Callala,2008,Ecklonia radiata,87.5,1/01/2008 0:00,2,21.85381508,7.081684113,0.66608429,0.07970009
Jervis Bay,JBMP-S19,Callala,2009,Ecklonia radiata,97.5,1/01/2009 0:00,10,21.29112434,0.493253708,0.246084213,0.127400011
Jervis Bay,JBMP-S19,Callala,2012,Ecklonia radiata,83.2,1/01/2012 0:00,-14.3,22.61966896,45.73808289,1.926084518,0.140299991
Jervis Bay,JBMP-S19,Callala,2017,Ecklonia radiata,69.2,1/01/2017 0:00,-14,23.18506622,91.29174805,3.021083832,0.225399971
Jervis Bay,JBMP-S24,Callala Reef West,2001,Ecklonia radiata,47.9,1/01/2001 0:00,-32.8,23.14158821,66.2385025,2.026082993,0.175099939
Jervis Bay,JBMP-S24,Callala Reef West,2003,Ecklonia radiata,75.7,1/01/2003 0:00,27.8,22.48085976,30.7644558,2.43608284,0.241449922
